源吉川,発,,,, 45755,,, 51755,,, ﾚ,,, 52955,, 53955, ﾚ,,, 54955, ﾚ,,,, 55955, ﾚ,,, 60955, ﾚ,,, 61955, ﾚ,,,, 62840, ﾚ, ﾚ,,, 63640, ﾚ, ﾚ,,, 64255, ﾚ, ﾚ,,, 64955, ﾚ, ﾚ,,, 65755, ﾚ, ﾚ,,, 70555, ﾚ, ﾚ,,, 71355, ﾚ, ﾚ,,, 72155, ﾚ, ﾚ,,, 72955, ﾚ, ﾚ,,, 73755, ﾚ, ﾚ,,, 74555, ﾚ, ﾚ,,, 75355, ﾚ, ﾚ,,, 80155, ﾚ, ﾚ,,, 80955, ﾚ, ﾚ,,, 81755, ﾚ, ﾚ,,,, 82555, ﾚ, ﾚ,,, 83355, ﾚ, ﾚ,, ﾚ, 84155, ﾚ,, ﾚ, ﾚ,, 85155,, ﾚ,,, ﾚ, 90155, ﾚ,,, 91155, ﾚ, ﾚ,,, 92155, ﾚ,,, 93155, ﾚ,,,, 94155, ﾚ,,, 95155, ﾚ,,,100155, ﾚ,,,101155, ﾚ,,,102155, ﾚ,,,103155, ﾚ,,,104155, ﾚ,,,105155, ﾚ,,,110155, ﾚ,,,111155, ﾚ,,,112155, ﾚ,,,113155, ﾚ,,,114155, ﾚ,,,115155, ﾚ,,,120155, ﾚ,,,121155, ﾚ,,,122155, ﾚ,,,123155, ﾚ,,,124155, ﾚ,,,125155, ﾚ,,,130155, ﾚ,,,131155, ﾚ,,,132155, ﾚ,,,133155, ﾚ,,,134155, ﾚ,,,135155, ﾚ,,,140155, ﾚ,,,141155, ﾚ,,,142155, ﾚ,,,143155, ﾚ,,,144155, ﾚ,,,145155, ﾚ,,,150155, ﾚ,,,151155, ﾚ,,,152155, ﾚ,,,153155, ﾚ,,,154155, ﾚ,,,155155, ﾚ,,,160155, ﾚ,,,161155, ﾚ,,,162155, ﾚ,,,163155, ﾚ,,,164155, ﾚ,,,165155, ﾚ,,,,170155, ﾚ,,,171155, ﾚ,,,,172155, ﾚ,,,,173155, ﾚ,,,,174005, ﾚ,,,174805, ﾚ,,,175605, ﾚ,,,180405, ﾚ,,,181205, ﾚ,,,182005, ﾚ,,,182805, ﾚ,,,183605, ﾚ,,,184405, ﾚ,,,185205, ﾚ,,,190005, ﾚ,,,190805, ﾚ,,,191605, ﾚ,,,192405, ﾚ,,,193205, ﾚ,,,194005, ﾚ,,,194805, ﾚ,,,195605, ﾚ,,,200405, ﾚ,,,201205, ﾚ,,,202005, ﾚ,,,202805, ﾚ,,,203605, ﾚ,,,204605, ﾚ,,,205605, ﾚ,,, ﾚ,,210405,210930, ﾚ,,,211605, ﾚ,,,212605, ﾚ,,,213605, ﾚ,,,214605, ﾚ,,,215605, ﾚ,,,,220605, ﾚ,,,221605, ﾚ,,,,222605, ﾚ,,223605, ﾚ,,,225055, ﾚ,, ﾚ,230555, ﾚ,,,232055, ﾚ,,,233555, ﾚ,,,235055, ﾚ,,, 01055, ﾚ,,,, 03055, ﾚ,,, 05055, ﾚ, 10855
九十九市場,着,,,, 45935,,, 51935,,, 52820,,, 53135,, 54135, 54240,,, 55135, 55240,,,, 60135, 60240,,, 61135, 61240,,, 62135, 62240,,,, 63020, 62740, 63220,,, 63820, 63540, 64020,,, 64435, 64540, 64750,,, 65135, 65340, 65550,,, 65935, 70040, 70350,,, 70735, 70840, 71150,,, 71535, 71640, 71950,,, 72335, 72440, 72750,,, 73135, 73240, 73550,,, 73935, 74040, 74350,,, 74735, 74840, 75150,,, 75535, 75640, 75950,,, 80335, 80440, 80750,,, 81135, 81240, 81550,,, 81935, 82040, 82350,,,, 82735, 82815, 83150,,, 83550, 83640, 83850,, 84030, 84335, 84440,, 84650, 84820,, 85335,, 85430,,, 85830, 90335, 90430,,, 91335, 91700, 91430,,, 92335, 92430,,, 93335, 93430,,,, 94335, 94430,,, 95335, 95430,,,100335,100430,,,101335,101430,,,102335,102430,,,103335,103430,,,104335,104430,,,105335,105430,,,110335,110430,,,111335,111430,,,112335,112430,,,113335,113430,,,114335,114430,,,115335,115430,,,120335,120430,,,121335,121430,,,122335,122430,,,123335,123430,,,124335,124430,,,125335,125430,,,130335,130430,,,131335,131430,,,132335,132430,,,133335,133430,,,134335,134430,,,135335,135430,,,140335,140430,,,141335,141430,,,142335,142430,,,143335,143430,,,144335,144430,,,145335,145430,,,150335,150430,,,151335,151430,,,152335,152430,,,153335,153430,,,154335,154430,,,155335,155430,,,160335,160430,,,161335,161430,,,162335,162430,,,163335,163430,,,164335,164430,,,165335,165430,,,,170335,170430,,,171335,171430,,,,172335,172430,,,,173335,173430,,,,174145,174240,,,174945,175045,,,175745,175840,,,180545,180640,,,181345,181440,,,182145,182240,,,182945,183040,,,183745,183840,,,184545,184640,,,185345,185440,,,190145,190240,,,190945,191040,,,191745,191840,,,192545,192640,,,193345,193440,,,194145,194240,,,194945,195040,,,195745,195840,,,200545,200640,,,201345,201440,,,202145,202240,,,202945,203040,,,203745,203840,,,204745,204840,,,205745,205840,,,210050,,210545,211125,210840,,,211745,211840,,,212745,212840,,,213745,213840,,,214745,214840,,,215745,215840,,,,220745,220840,,,221745,221840,,,,222745,223050,,223745,223840,,,225235,225340,,225650,230735,230840,,,232235,232340,,,233735,233840,,,235235,235340,,, 01235, 01340,,,, 03235, 03340,,, 05235, 05340, 11035
九十九市場,番線,,3,,3,,,3,,,4,,,3,,3,4,,,3,4,,,,3,4,,,3,4,,,3,4,,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,,3,4,4,,,5,4,4,,5,3,4,,4,4,,3,,4,,,5,3,4,,,3,5,4,,,3,4,,,3,4,,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,,3,4,,,3,4,,,,3,4,,,,3,4,,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,4,,3,5,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,,3,4,,,3,4,,,,5,4,,3,4,,,3,4,,4,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,,3,4,,,3,4,3
九十九市場,発,, 44000,, 50005,,, 52005,,, 52850,,, 53205,, 54310, 54310,,, 55310, 55310,,,, 60310, 60310,,, 61310, 61310,,, 62310, 62310,,,, 63050, 62810, 63250,,, 63850, 63610, 64050,,, 64610, 64610, 64820,,, 65410, 65410, 65620,,, 70110, 70110, 70420,,, 70910, 70910, 71220,,, 71710, 71710, 72020,,, 72510, 72510, 72820,,, 73310, 73310, 73620,,, 74110, 74110, 74420,,, 74910, 74910, 75220,,, 75710, 75710, 80020,,, 80510, 80510, 80820,,, 81310, 81310, 81620,,, 82110, 82110, 82420,,,, 82910, 82845, 83220,,,, 83710, 83920,,, 84510, 84510,, 84720, 85330,, 85500,, 85500,,,, 90500, 90500,,, 91500,, 91500,,, 92500, 92500,,, 93500, 93500,,,, 94500, 94500,,, 95500, 95500,,,100500,100500,,,101500,101500,,,102500,102500,,,103500,103500,,,104500,104500,,,105500,105500,,,110500,110500,,,111500,111500,,,112500,112500,,,113500,113500,,,114500,114500,,,115500,115500,,,120500,120500,,,121500,121500,,,122500,122500,,,123500,123500,,,124500,124500,,,125500,125500,,,130500,130500,,,131500,131500,,,132500,132500,,,133500,133500,,,134500,134500,,,135500,135500,,,140500,140500,,,141500,141500,,,142500,142500,,,143500,143500,,,144500,144500,,,145500,145500,,,150500,150500,,,151500,151500,,,152500,152500,,,153500,153500,,,154500,154500,,,155500,155500,,,160500,160500,,,161500,161500,,,162500,162500,,,163500,163500,,,164500,164500,,,165500,165500,,,,170500,170500,,,171500,171500,,,,172500,172500,,,,173500,173500,,,,174310,174310,,,175110,175115,,,175910,175910,,,180710,180710,,,181510,181510,,,182310,182310,,,183110,183110,,,183910,183910,,,184710,184710,,,185510,185510,,,190310,190310,,,191110,191110,,,191910,191910,,,192710,192710,,,193510,193510,,,194310,194310,,,195110,195110,,,195910,195910,,,200710,200710,,,201510,201510,,,202310,202310,,,203110,203110,,,203910,203910,,,204910,204910,,,205910,205910,,,210150,,210910,,210910,,,211910,211910,,,212910,212910,,,213910,213910,,,214910,214910,,,215910,215910,,,,220910,220910,,,221910,221910,,,,,223120,,223910,223910,,,225400,225410,,225720,230900,230910,,,232400,232410,,,233900,233910,,,235400,235410,,, 01400, 01410,,,, 03400, 03410,,, 05400, 05410,
滝之川信号場,番線,,上緩,,上緩,車庫,,上緩,車庫,,上急,,,上緩,,上緩,上急,,,上緩,上急,,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,上緩,上急,上急,,,,上緩,上急,上急,,,,上急,上急,,,上緩,上急,,上急,上急,,上緩,,上急,,,,上緩,上急,,,上緩,,上急,,,上緩,上急,,,上緩,上急,,,車庫,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,,上緩,上急,,,上緩,上急,,,,上緩,上急,,,車庫,上緩,上急,,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上急,,上緩,,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,車庫,上緩,上急,,,上緩,上急,,,車庫,,上急,,上緩,上急,,,上緩,上急,,上急,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,上緩,上急,,,,上緩,上急,,,上緩,上急,
滝之川信号場,発,, ﾚ,, ﾚ, 50915,, ﾚ, 52600,, ﾚ,,, ﾚ,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ, ﾚ,,,, ﾚ, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, ﾚ, ﾚ,, ﾚ, ﾚ,, ﾚ,, ﾚ,,,, ﾚ, ﾚ,,, ﾚ,, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, 94000, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,, ﾚ, ﾚ,,,172300, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ,, ﾚ,, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,220000, ﾚ, ﾚ,,, ﾚ, ﾚ,,,223000,, ﾚ,, ﾚ, ﾚ,,, ﾚ, ﾚ,, ﾚ, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, ﾚ, ﾚ,
滝之川,着,, 44145,, 50150, 51100,, 52150, ﾚ,, ﾚ,,, 53350,, 54455, ﾚ,,, 55455, ﾚ,,,, 60455, ﾚ,,, 61455, ﾚ,,, 62455, ﾚ,,,, 63235, ﾚ, ﾚ,,, 64035, ﾚ, ﾚ,,, 64755, ﾚ, ﾚ,,, 65555, ﾚ, ﾚ,,, 70255, ﾚ, ﾚ,,, 71055, ﾚ, ﾚ,,, 71855, ﾚ, ﾚ,,, 72655, ﾚ, ﾚ,,, 73455, ﾚ, ﾚ,,, 74255, ﾚ, ﾚ,,, 75055, ﾚ, ﾚ,,, 75855, ﾚ, ﾚ,,, 80655, ﾚ, ﾚ,,, 81455, ﾚ, ﾚ,,, 82255, ﾚ, ﾚ,,,, 83055, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, 84655, ﾚ,, ﾚ, ﾚ,, 85645,, ﾚ,,,, 90645, ﾚ,,, 91645,, ﾚ,,, 92645, ﾚ,,, 93645, ﾚ,,, ﾚ, 94645, ﾚ,,, 95645, ﾚ,,,100645, ﾚ,,,101645, ﾚ,,,102645, ﾚ,,,103645, ﾚ,,,104645, ﾚ,,,105645, ﾚ,,,110645, ﾚ,,,111645, ﾚ,,,112645, ﾚ,,,113645, ﾚ,,,114645, ﾚ,,,115645, ﾚ,,,120645, ﾚ,,,121645, ﾚ,,,122645, ﾚ,,,123645, ﾚ,,,124645, ﾚ,,,125645, ﾚ,,,130645, ﾚ,,,131645, ﾚ,,,132645, ﾚ,,,133645, ﾚ,,,134645, ﾚ,,,135645, ﾚ,,,140645, ﾚ,,,141645, ﾚ,,,142645, ﾚ,,,143645, ﾚ,,,144645, ﾚ,,,145645, ﾚ,,,150645, ﾚ,,,151645, ﾚ,,,152645, ﾚ,,,153645, ﾚ,,,154645, ﾚ,,,155645, ﾚ,,,160645, ﾚ,,,161645, ﾚ,,,162645, ﾚ,,,163645, ﾚ,,,164645, ﾚ,,,165645, ﾚ,,,,170645, ﾚ,,,171645, ﾚ,,,,172645, ﾚ,,, ﾚ,173645, ﾚ,,,,174455, ﾚ,,,175255, ﾚ,,,180055, ﾚ,,,180855, ﾚ,,,181655, ﾚ,,,182455, ﾚ,,,183255, ﾚ,,,184055, ﾚ,,,184855, ﾚ,,,185655, ﾚ,,,190455, ﾚ,,,191255, ﾚ,,,192055, ﾚ,,,192855, ﾚ,,,193655, ﾚ,,,194455, ﾚ,,,195255, ﾚ,,,200055, ﾚ,,,200855, ﾚ,,,201655, ﾚ,,,202455, ﾚ,,,203255, ﾚ,,,204055, ﾚ,,,205055, ﾚ,,,210055, ﾚ,,, ﾚ,,211055,, ﾚ,,,212055, ﾚ,,,213055, ﾚ,,,214055, ﾚ,,,215055, ﾚ,,,220055, ﾚ,,, ﾚ,221055, ﾚ,,,222055, ﾚ,,, ﾚ,, ﾚ,,224055, ﾚ,,,225545, ﾚ,, ﾚ,231045, ﾚ,,,232545, ﾚ,,,234045, ﾚ,,,235545, ﾚ,,, 01545, ﾚ,,,, 03545, ﾚ,,, 05545, ﾚ,
滝之川,番線,,緩2,,緩2,緩2,,緩2,上急,,上急,,,緩2,,緩2,上急,,,緩2,上急,,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,緩2,上急,上急,,,,緩2,上急,上急,,,,上急,上急,,,緩2,上急,,上急,上急,,緩2,,上急,,,,緩2,上急,,,緩2,,上急,,,緩2,上急,,,緩2,上急,,,緩2,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,,緩2,上急,,,緩2,上急,,,,緩2,上急,,,上急,緩2,上急,,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,上急,,緩2,,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,緩2,上急,,,緩2,上急,,,緩2,,上急,,緩2,上急,,,緩2,上急,,上急,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,緩2,上急,,,,緩2,上急,,,緩2,上急,
滝之川,発,, 44215,, 50220, 51130,, 52220, ﾚ,, ﾚ,,, 53420,, 54525, ﾚ,,, 55525, ﾚ,,,, 60525, ﾚ,,, 61525, ﾚ,,, 62525, ﾚ,,,, 63305, ﾚ, ﾚ,,, 64105, ﾚ, ﾚ,,, 64825, ﾚ, ﾚ,,, 65625, ﾚ, ﾚ,,, 70325, ﾚ, ﾚ,,, 71125, ﾚ, ﾚ,,, 71925, ﾚ, ﾚ,,, 72725, ﾚ, ﾚ,,, 73525, ﾚ, ﾚ,,, 74325, ﾚ, ﾚ,,, 75125, ﾚ, ﾚ,,, 75925, ﾚ, ﾚ,,, 80725, ﾚ, ﾚ,,, 81525, ﾚ, ﾚ,,, 82325, ﾚ, ﾚ,,,, 83125, ﾚ, ﾚ,,,, ﾚ, ﾚ,,, 84725, ﾚ,, ﾚ, ﾚ,, 85715,, ﾚ,,,, 90715, ﾚ,,, 91715,, ﾚ,,, 92715, ﾚ,,, 93715, ﾚ,,, ﾚ, 94715, ﾚ,,, 95715, ﾚ,,,100715, ﾚ,,,101715, ﾚ,,,102715, ﾚ,,,103715, ﾚ,,,104715, ﾚ,,,105715, ﾚ,,,110715, ﾚ,,,111715, ﾚ,,,112715, ﾚ,,,113715, ﾚ,,,114715, ﾚ,,,115715, ﾚ,,,120715, ﾚ,,,121715, ﾚ,,,122715, ﾚ,,,123715, ﾚ,,,124715, ﾚ,,,125715, ﾚ,,,130715, ﾚ,,,131715, ﾚ,,,132715, ﾚ,,,133715, ﾚ,,,134715, ﾚ,,,135715, ﾚ,,,140715, ﾚ,,,141715, ﾚ,,,142715, ﾚ,,,143715, ﾚ,,,144715, ﾚ,,,145715, ﾚ,,,150715, ﾚ,,,151715, ﾚ,,,152715, ﾚ,,,153715, ﾚ,,,154715, ﾚ,,,155715, ﾚ,,,160715, ﾚ,,,161715, ﾚ,,,162715, ﾚ,,,163715, ﾚ,,,164715, ﾚ,,,165715, ﾚ,,,,170715, ﾚ,,,171715, ﾚ,,,,172715, ﾚ,,, ﾚ,173715, ﾚ,,,,174525, ﾚ,,,175325, ﾚ,,,180125, ﾚ,,,180925, ﾚ,,,181725, ﾚ,,,182525, ﾚ,,,183325, ﾚ,,,184125, ﾚ,,,184925, ﾚ,,,185725, ﾚ,,,190525, ﾚ,,,191325, ﾚ,,,192125, ﾚ,,,192925, ﾚ,,,193725, ﾚ,,,194525, ﾚ,,,195325, ﾚ,,,200125, ﾚ,,,200925, ﾚ,,,201725, ﾚ,,,202525, ﾚ,,,203325, ﾚ,,,204125, ﾚ,,,205125, ﾚ,,,210125, ﾚ,,, ﾚ,,211125,, ﾚ,,,212125, ﾚ,,,213125, ﾚ,,,214125, ﾚ,,,215125, ﾚ,,,220125, ﾚ,,, ﾚ,221125, ﾚ,,,222125, ﾚ,,, ﾚ,, ﾚ,,224125, ﾚ,,,225615, ﾚ,, ﾚ,231115, ﾚ,,,232615, ﾚ,,,234115, ﾚ,,,235615, ﾚ,,, 01615, ﾚ,,,, 03615, ﾚ,,, 05615, ﾚ,
二俣湖,着,, 44400,, 50405, 51315,, 52405, ﾚ,, 53120,,, 53605,, 54710, 54540,,, 55710, 55540,,,, 60710, 60540,,, 61710, 61540,,, 62710, 62540,,,, 63450, 63040, 63520,,, 64250, 63840, 64320,,, 65010, 64840, 65050,,, 65810, 65640, 65850,,, 70510, 70340, 70650,,, 71310, 71140, 71450,,, 72110, 71940, 72250,,, 72910, 72740, 73050,,, 73710, 73540, 73850,,, 74510, 74340, 74650,,, 75310, 75140, 75450,,, 80110, 75940, 80250,,, 80910, 80740, 81050,,, 81710, 81540, 81850,,, 82510, 82340, 82650,,,, 83310, 83115, 83450,,,, 83940, 84150,,, 84910, 84740,, 84950, 85600,, 85900,, 85730,,,, 90900, 90730,,, 91900,, 91730,,, 92900, 92730,,, 93900, 93730,,, 94620, 94900, 94730,,, 95900, 95730,,,100900,100730,,,101900,101730,,,102900,102730,,,103900,103730,,,104900,104730,,,105900,105730,,,110900,110730,,,111900,111730,,,112900,112730,,,113900,113730,,,114900,114730,,,115900,115730,,,120900,120730,,,121900,121730,,,122900,122730,,,123900,123730,,,124900,124730,,,125900,125730,,,130900,130730,,,131900,131730,,,132900,132730,,,133900,133730,,,134900,134730,,,135900,135730,,,140900,140730,,,141900,141730,,,142900,142730,,,143900,143730,,,144900,144730,,,145900,145730,,,150900,150730,,,151900,151730,,,152900,152730,,,153900,153730,,,154900,154730,,,155900,155730,,,160900,160730,,,161900,161730,,,162900,162730,,,163900,163730,,,164900,164730,,,165900,165730,,,,170900,170730,,,171900,171730,,,,172900,172730,,, ﾚ,173900,173730,,,,174710,174540,,,175510,175345,,,180310,180140,,,181110,180940,,,181910,181740,,,182710,182540,,,183510,183340,,,184310,184140,,,185110,184940,,,185910,185740,,,190710,190540,,,191510,191340,,,192310,192140,,,193110,192940,,,193910,193740,,,194710,194540,,,195510,195340,,,200310,200140,,,201110,200940,,,201910,201740,,,202710,202540,,,203510,203340,,,204310,204140,,,205310,205140,,,210310,210140,,,210420,,211310,,211140,,,212310,212140,,,213310,213140,,,214310,214140,,,215310,215140,,,220310,220140,,,220620,221310,221140,,,222310,222140,,,223620,,223350,,224310,224140,,,225800,225640,,225950,231300,231140,,,232800,232640,,,234300,234140,,,235800,235640,,, 01800, 01640,,,, 03800, 03640,,, 05800, 05640,
二俣湖,番線,,3,,3,3,,3,4,,4,,,3,,3,4,,,3,4,,,,3,4,,,3,4,,,3,4,,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,3,4,4,,,,3,4,4,,,,4,4,,,3,4,,4,4,,3,,4,,,,3,4,,,3,,4,,,3,4,,,3,4,,,3,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,,3,4,,,3,4,,,,3,4,,,4,3,4,,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,4,,3,,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,3,4,,,3,4,,,3,,4,,3,4,,,3,4,,4,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,,3,4,,,3,4,
